iter	Passed	Remaining
0	0	133
1	1	118
2	2	113
3	2	108
4	3	109
5	4	107
6	4	105
7	5	104
8	6	102
9	6	101
10	7	100
11	8	99
12	8	98
13	9	97
14	9	96
15	10	95
16	11	94
17	12	96
18	12	95
19	13	94
20	14	94
21	14	93
22	15	92
23	16	91
24	16	90
25	17	89
26	18	89
27	18	88
28	19	87
29	20	88
30	20	87
31	21	86
32	22	85
33	22	84
34	23	84
35	24	83
36	24	82
37	25	81
38	26	80
39	26	80
40	27	79
41	28	78
42	28	77
43	29	77
44	29	76
45	30	75
46	31	75
47	31	74
48	32	74
49	33	73
50	34	72
51	34	71
52	35	71
53	35	70
54	36	69
55	37	69
56	37	68
57	38	68
58	39	67
59	40	66
60	40	66
61	41	65
62	42	64
63	42	64
64	43	63
65	43	62
66	44	61
67	45	61
68	45	60
69	46	59
70	47	59
71	48	58
72	48	58
73	49	57
74	50	56
75	50	56
76	51	55
77	52	54
78	52	53
79	53	53
80	53	52
81	54	52
82	55	51
83	56	50
84	56	50
85	57	49
86	57	48
87	58	47
88	59	47
89	60	46
90	60	46
91	61	45
92	62	44
93	62	44
94	63	43
95	64	42
96	64	42
97	65	41
98	66	40
99	66	40
100	67	39
101	68	38
102	68	38
103	69	37
104	70	36
105	70	36
106	71	35
107	72	34
108	72	34
109	73	33
110	74	32
111	75	32
112	75	31
113	76	30
114	77	30
115	77	29
116	78	28
117	79	28
118	79	27
119	80	26
120	81	26
121	81	25
122	82	24
123	82	24
124	83	23
125	84	22
126	84	22
127	85	21
128	86	20
129	87	20
130	87	19
131	88	18
132	89	18
133	89	17
134	90	16
135	91	16
136	91	15
137	92	14
138	92	14
139	93	13
140	94	12
141	95	12
142	95	11
143	96	10
144	97	10
145	97	9
146	98	8
147	99	8
148	99	7
149	100	6
150	101	6
151	101	5
152	102	4
153	103	4
154	103	3
155	104	2
156	105	2
157	105	1
158	106	0
159	107	0
